,prev_transcript_clean,transcript_clean,is_grammatical,labels,note
1354695,we can put them away now and then write some more later.,I know.,1,,
1354723,mhm for the bed room.,this is a bath.,1,,
1354837,daddy's tired.,open it up daddy's tired.,1,,
1355397,yours is different.,mine is different.,1,,
1355833,I'd rather pitch this ball.,that ball.,1,,
1355839,well I thought you were sposta use hold the bat with two hands.,bat with my hands and like that.,-1,"subject, verb, determiner",
1356059,that car's too small Jenny.,car too small.,-1,"determiner, verb",repetition
1356178,both of them fell over huh?,yeah spread his legs it can't stand up.,1,,
1356731,that's okay.,that's okay.,1,,
1356903,what's this?,that's a cow.,1,,
1357196,it's going to run in here in this one.,it's going to run in this one.,1,,
1357254,huh.,I want ta roll down again that's like em.,1,,
1357545,okay.,this too.,1,,
1357770,where.,is this a red one?,1,,
1357785,okay.,I want ta see if this comes out.,1,,
1358509,I hurt my okay.,I can't.,1,,
1359344,huh?,put some more water in here.,1,,
1360572,yeah it's for me.,they're my toys.,1,,
1360611,yes they are.,no they're not.,1,,
1360812,what about it?,look at look on here.,-1,preposition,
1361224,are you going to put on snow tires?,big tires!,1,,
1361290,I don't know.,I don't know.,1,,
1361435,no with wheels I got.,it's a train.,1,,
1361449,which one?,that one over there.,1,,
1361728,nope.,because why?,-1,other,
1362209,no it's stuck.,it's stuck.,1,,
1362263,what?,my my my barrels.,1,,
1362478,where should I put mine?,right here you put the other one.,1,,
1362648,I can't fix em.,I can I can.,1,,
1362900,it's not working very well.,I can do it.,1,,
1363097,put this guy no put that in there okay.,what that?,-1,verb,
1364710,no.,what is it?,1,,
1364957,mm did you put them all in order?,yep look.,1,,
1365023,we're not in a hurry.,you're going to hurry.,1,,
1365104,what is this one?,a green.,-1,subject,
1365490,no I'm going to take three of them out.,one's out and I'm going to take em out and then I'm going to put em back in.,1,,
1366244,I want something to do.,I want something something.,1,,
1366307,sleeping sleep let's sing one more song!,we didn't sing a song of this.,-1,preposition,
1366498,because it's easy that way.,she not she's going to not going to walk.,-1,other,Self-correction
1366607,what?,a tiger.,1,,
1366721,checker big a checker.,look at.,-1,object,
1366949,barn hope the barn fits.,what is that?,1,,
1367042,I can go over there.,maybe it can go over there.,1,,
1367488,got ta do this better.,put it on.,1,,imperative?
1367702,a goes like this.,it can go like that or can it go like that no.,1,,
1367736,Peter.,what is this?,1,,
1369079,no what does it do for the fireplace?,it does.,-1,object,
1369240,alright.,this is Santa Claus.,1,,
1369727,what are you going to do?,do this.,-1,subject,
