index,utt_transcript_clean,response_transcript_clean,is_ack,utt_repetition_ratio,resp_repetition_ratio
1445550,do they live in Vermont?,no they don't live in Vermont silly.,0,1,0.25
2448870,four.,"no, almost made four.",0,1,0.25
483568,they're Jeannine's shoes.,they're not Jeannine's shoes.,0,1,0.333333333333333
2241627,boo.,boo.,1,1,1
1106350,yeah.,yeah.,1,1,1
515191,that his nose?,her nose.,0,1,0.5
2640389,Mom you go at my daddy's dentist?,actually he's my dentist.,0,0.25,0.2
2995137,can I go on the doggy?,you can go on the doggy when Amy's finished.,0,1,0.2
2731845,cut them off.,cut them off.,1,1,0.333333333333333
346691,jigsaw puzzle again.,you do the jigsaw puzzle.,1,1,0.4
466348,I want a wee wee.,you wanna wee wee.,1,0.5,0.333333333333333
1262160,what's this?,what is that insect.,0,0.333333333333333,0.25
1875188,cake.,cake.,1,1,1
2878752,we put the lights on then?,we put the lights on on the tree.,1,1,0.333333333333333
1947595,not me.,not you.,1,0.5,0.5
1709311,all done.,all done.,1,1,0.5
2017907,and the driver coming.,the driver's coming.,1,1,0.5
1691524,no.,no.,1,1,1
1539276,no.,no but what.,0,1,0.333333333333333
1305351,cock a doodle doo.,cock a doodle doo.,1,1,0.75
1727647,two hat.,two hat.,1,1,1
1859977,police car shirt.,police car shirt.,1,1,1
1411752,she's my cousin.,she.,0,0.25,1
1897856,it's fine.,it's fine.,1,1,0.333333333333333
2874328,you can't lie on daddy.,I can.,0,0.166666666666667,0.5
2569732,a muscle man.,a muscle man.,1,1,0.666666666666667
2263346,then m.,m.,1,0.5,1
2614188,tools.,tools.,1,1,1
1661751,and eyes.,"your eyes too, okay.",1,1,0.25
446878,no throwing.,no throwing.,1,1,0.5
1742323,up and down.,up and down.,1,1,1
1696191,no cheese.,no cheese.,1,1,0.5
1236876,oh.,oh thank you so much.,0,1,0.2
2596081,smell bad.,it smells bad.,1,0.5,0.333333333333333
1031869,what's bake?,pasta's when I pasta bake is when I put the pasta and the sauce in and I put it in the oven and bake it.,0,1,0.0769230769230769
1494419,what Piglet doing?,it looks like Piglet is looking up at Pooh bear who is trying to.,0,1,0.0769230769230769
2830183,here.,here here's a bucket of water.,0,1,0.166666666666667
2767495,pants.,yeah that's a piece of torn pants.,1,1,0.125
1827471,Nana Grandad tea sandwiches.,Grandma and Grandad eat sandwiches.,0,0.5,0.4
1809530,Mummy do it.,Mummy do it.,1,1,0.333333333333333
1884579,brown hare.,Little Nut Brown Hare and Big Nut Brown Hare.,1,1,0.333333333333333
128158,big.,big.,1,1,1
1970380,where buzzy bees?,buzzy bees have buzzed off until it's warmer weather.,0,1,0.2
469474,and that's another eye.,that's another eye.,1,1,0.5
1818801,ooh.,ooh dear.,0,1,0.5
2195984,blue.,blue.,1,1,1
1730837,b c a b c a b c.,a b c a b c.,0,1,0.666666666666667
1751448,oh Jo Becky.,Jo.,0,0.5,1
2113139,an e.,I do need an e as well but if.,0,1,0.111111111111111
1803947,Thomas Henry.,Thomas Henry.,1,1,1
1869404,what's this?,that's a pound coin.,0,0.333333333333333,0.2
2061600,blowing some bubbles.,blowing some bubbles.,1,1,0.666666666666667
652634,two Mr Strongs.,no there isn't two Mr Strongs.,0,1,0.428571428571429
2870784,water.,the water.,1,1,0.5
2073536,it's not.,it is.,0,0.333333333333333,0.5
616334,but or sad bushes.,no or sad bushes.,0,1,0.5
1461535,comb.,"comb, and a brush, and a bowl full of.",1,1,0.142857142857143
1127033,and Grandad.,no Grandad.,0,1,0.5
886324,because I don't want to play with you.,because you don't want to play with me.,1,1,0.222222222222222
