index,utt_transcript_clean,response_transcript_clean,is_cr
4253030,squishy feet.,are they squishy?,1
440019,mamaless.,mamaless?,1
2077626,mummy.,mummy?,1
397160,what's that?,what is that Naima?,0
523890,is this?,what is it?,0
2109119,Abi.,Abi?,1
4240193,shoes.,he's wearing shoes isn't he?,1
2146172,you can have the flower one.,I can what?,1
401537,Ma make an r.,make an r?,1
2148293,make yours bowl.,make mine what?,1
4253299,no he's slipping.,is he slipping?,1
488637,I see.,whadda you see?,1
2205686,pumped.,did you pump?,1
263480,puppy.,the puppies live across the street?,0
4217957,this the mommy cow.,is that a cow?,1
4261367,nose.,find his nose?,0
2095080,throwing ball.,"you wanna play football throwing ball while my tape's on, do you?",0
515832,squid.,squid right?,1
2095844,what you going to do be let's pretend area.,in the let's pretend area?,1
2160283,can I wash the lady?,wash what lady?,1
4250754,when that one done we can put these in.,oh when this one's done?,1
