"source","target","source_description","target_description","contingency"
"AA","QN","Answer in the affirmative to yes/no question.","Ask a product-question (wh-question)",1
"AA","RD","Answer in the affirmative to yes/no question.","Refuse to carry out an act requested or proposed by other.",0
"AA","RP","Answer in the affirmative to yes/no question.","Request propose or suggest an action for hearer or for hearer and speaker.",1
"AA","RQ","Answer in the affirmative to yes/no question.","Yes/no question or suggestion about hearer's wishes and intentions",1
"AA","RR","Answer in the affirmative to yes/no question.","Request to repeat utterance.",1
"AA","RT","Answer in the affirmative to yes/no question.","Repeat or imitate other's utterance.",1
"AA","SA","Answer in the affirmative to yes/no question.","Answer a wh-question with a statement.",0
"AA","SC","Answer in the affirmative to yes/no question.","Complete statement or other utterance in compliance with request.",0
"AA","SI","Answer in the affirmative to yes/no question.","State intent to carry out act by speaker.",1
"AA","SS","Answer in the affirmative to yes/no question.","Signal to start performing an act such as running or rolling a ball",1
"AA","ST","Answer in the affirmative to yes/no question.","Make a declarative statement.",1
"AA","TO","Answer in the affirmative to yes/no question.","Mark transfer of object to hearer",1
"AA","TQ","Answer in the affirmative to yes/no question.","Ask a limited-alternative yes/no question.",1
"AA","TX","Answer in the affirmative to yes/no question.","Read or recite written text aloud.",1
"AA","WD","Answer in the affirmative to yes/no question.","Warn of danger.",1
"AA","XA","Answer in the affirmative to yes/no question.","Exhibit attentiveness to hearer.",1
"AA","YA","Answer in the affirmative to yes/no question.","Answer a question with a yes/no question.",0
"AA","YQ","Answer in the affirmative to yes/no question.","Ask a yes/no question.",1
"AA","YY","Answer in the affirmative to yes/no question.","Make a word-like utterance without clear function.",0
"AB","AA","Approve of appropriate behavior.","Answer in the affirmative to yes/no question.",0
"AB","AB","Approve of appropriate behavior.","Approve of appropriate behavior.",1
"AB","AC","Approve of appropriate behavior.","Answer calls/ show attentiveness to communications.",0
"AB","AD","Approve of appropriate behavior.","Agree to carry out an act requested or proposed by other.",0
"AB","AN","Approve of appropriate behavior.","Answer in the negative to yes/no question",0
"AB","AP","Approve of appropriate behavior.","Agree with proposition or proposal expressed by previous speaker",0
"AB","CL","Approve of appropriate behavior.","Call attention to hearer by name or by substitute exclamations",1
"AB","CN","Approve of appropriate behavior.","Count.",1
"AB","CS","Approve of appropriate behavior.","Counter-suggestion/ an indirect refusal.",0
"AB","DC","Approve of appropriate behavior.","Create a new state of affairs by declaration",1
"AB","DP","Approve of appropriate behavior.","Declare make-believe reality.",1
"AB","DS","Approve of appropriate behavior.","Disapprove scold protest disruptive behavior.",0
"AB","DW","Approve of appropriate behavior.","Disagree with proposition expressed by previous speaker.",0
"AB","ED","Approve of appropriate behavior.","Exclaim in disapproval.",1
"AB","EI","Approve of appropriate behavior.","Elicit imitation of word or sentence by modelling or by explicit command",1
"AB","FP","Approve of appropriate behavior.","Ask for permission to carry out act.",1
"AB","GR","Approve of appropriate behavior.","Give reason/ justify a request for an action refusal or prohibition",1
"AB","MK","Approve of appropriate behavior.","Mark occurrence of event (thank greet apologize congratulate etc.).",1
"AB","OO","Approve of appropriate behavior.","Unintelligible vocalization.",0
"AB","PA","Approve of appropriate behavior.","Permit hearer to perform act.",1
"AB","PF","Approve of appropriate behavior.","Prohibit/forbid/protest hearer's performance of an act",1
"AB","PR","Approve of appropriate behavior.","Perform verbal move in game.",1
"AB","QN","Approve of appropriate behavior.","Ask a product-question (wh-question)",1
"AB","RD","Approve of appropriate behavior.","Refuse to carry out an act requested or proposed by other.",0
"AB","RP","Approve of appropriate behavior.","Request propose or suggest an action for hearer or for hearer and speaker.",1
"AB","RQ","Approve of appropriate behavior.","Yes/no question or suggestion about hearer's wishes and intentions",1
"AB","RR","Approve of appropriate behavior.","Request to repeat utterance.",1
"AB","RT","Approve of appropriate behavior.","Repeat or imitate other's utterance.",1
"AB","SI","Approve of appropriate behavior.","State intent to carry out act by speaker.",1
"AB","ST","Approve of appropriate behavior.","Make a declarative statement.",1
"AB","TO","Approve of appropriate behavior.","Mark transfer of object to hearer",1
"AB","TQ","Approve of appropriate behavior.","Ask a limited-alternative yes/no question.",1
"AB","TX","Approve of appropriate behavior.","Read or recite written text aloud.",1
"AB","WD","Approve of appropriate behavior.","Warn of danger.",1
"AB","XA","Approve of appropriate behavior.","Exhibit attentiveness to hearer.",1
"AB","YQ","Approve of appropriate behavior.","Ask a yes/no question.",1
"AB","YY","Approve of appropriate behavior.","Make a word-like utterance without clear function.",0
"AC","AA","Answer calls/ show attentiveness to communications.","Answer in the affirmative to yes/no question.",0
"AC","AB","Answer calls/ show attentiveness to communications.","Approve of appropriate behavior.",1
"AC","AC","Answer calls/ show attentiveness to communications.","Answer calls/ show attentiveness to communications.",0
"AC","AD","Answer calls/ show attentiveness to communications.","Agree to carry out an act requested or proposed by other.",1
"AC","AN","Answer calls/ show attentiveness to communications.","Answer in the negative to yes/no question",0
"AC","AP","Answer calls/ show attentiveness to communications.","Agree with proposition or proposal expressed by previous speaker",0
"AC","CL","Answer calls/ show attentiveness to communications.","Call attention to hearer by name or by substitute exclamations",0
"AC","CM","Answer calls/ show attentiveness to communications.","Commiserate express sympathy for hearer's distress.",0
"AC","CN","Answer calls/ show attentiveness to communications.","Count.",1
"AC","CS","Answer calls/ show attentiveness to communications.","Counter-suggestion/ an indirect refusal.",0
"AC","CT","Answer calls/ show attentiveness to communications.","Correct provide correct verbal form in place of erroneous one.",1
"AC","DC","Answer calls/ show attentiveness to communications.","Create a new state of affairs by declaration",1
"AC","DP","Answer calls/ show attentiveness to communications.","Declare make-believe reality.",1
"AC","DS","Answer calls/ show attentiveness to communications.","Disapprove scold protest disruptive behavior.",0
"AC","DW","Answer calls/ show attentiveness to communications.","Disagree with proposition expressed by previous speaker.",0
"AC","EA","Answer calls/ show attentiveness to communications.","Elicit onomatopoeic or animal sounds.",1
"AC","EC","Answer calls/ show attentiveness to communications.","Elicit completion of word or sentence.",1
"AC","ED","Answer calls/ show attentiveness to communications.","Exclaim in disapproval.",1
"AC","EI","Answer calls/ show attentiveness to communications.","Elicit imitation of word or sentence by modelling or by explicit command",1
"AC","EM","Answer calls/ show attentiveness to communications.","Exclaim in distress pain.",1
"AC","ET","Answer calls/ show attentiveness to communications.","Express enthusiasm for hearer's performance.",1
"AC","FP","Answer calls/ show attentiveness to communications.","Ask for permission to carry out act.",1
"AC","GR","Answer calls/ show attentiveness to communications.","Give reason/ justify a request for an action refusal or prohibition",1
"AC","MK","Answer calls/ show attentiveness to communications.","Mark occurrence of event (thank greet apologize congratulate etc.).",1
"AC","OO","Answer calls/ show attentiveness to communications.","Unintelligible vocalization.",0
"AC","PA","Answer calls/ show attentiveness to communications.","Permit hearer to perform act.",1
"AC","PD","Answer calls/ show attentiveness to communications.","Promise.",1
"AC","PF","Answer calls/ show attentiveness to communications.","Prohibit/forbid/protest hearer's performance of an act",1
"AC","PR","Answer calls/ show attentiveness to communications.","Perform verbal move in game.",1
"AC","QN","Answer calls/ show attentiveness to communications.","Ask a product-question (wh-question)",1
"AC","RD","Answer calls/ show attentiveness to communications.","Refuse to carry out an act requested or proposed by other.",1
"AC","RP","Answer calls/ show attentiveness to communications.","Request propose or suggest an action for hearer or for hearer and speaker.",1
"AC","RQ","Answer calls/ show attentiveness to communications.","Yes/no question or suggestion about hearer's wishes and intentions",1
"AC","RR","Answer calls/ show attentiveness to communications.","Request to repeat utterance.",1
"AC","RT","Answer calls/ show attentiveness to communications.","Repeat or imitate other's utterance.",1
"AC","SA","Answer calls/ show attentiveness to communications.","Answer a wh-question with a statement.",0
"AC","SI","Answer calls/ show attentiveness to communications.","State intent to carry out act by speaker.",1
"AC","SS","Answer calls/ show attentiveness to communications.","Signal to start performing an act such as running or rolling a ball",1
"AC","ST","Answer calls/ show attentiveness to communications.","Make a declarative statement.",1
"AC","TO","Answer calls/ show attentiveness to communications.","Mark transfer of object to hearer",1
"AC","TQ","Answer calls/ show attentiveness to communications.","Ask a limited-alternative yes/no question.",1
"AC","TX","Answer calls/ show attentiveness to communications.","Read or recite written text aloud.",1
"AC","WD","Answer calls/ show attentiveness to communications.","Warn of danger.",1
"AC","XA","Answer calls/ show attentiveness to communications.","Exhibit attentiveness to hearer.",1
"AC","YA","Answer calls/ show attentiveness to communications.","Answer a question with a yes/no question.",0
"AC","YQ","Answer calls/ show attentiveness to communications.","Ask a yes/no question.",1
"AC","YY","Answer calls/ show attentiveness to communications.","Make a word-like utterance without clear function.",0
"AD","AA","Agree to carry out an act requested or proposed by other.","Answer in the affirmative to yes/no question.",0
"AD","AB","Agree to carry out an act requested or proposed by other.","Approve of appropriate behavior.",1
"AD","AC","Agree to carry out an act requested or proposed by other.","Answer calls/ show attentiveness to communications.",0
"AD","AD","Agree to carry out an act requested or proposed by other.","Agree to carry out an act requested or proposed by other.",0
"AD","AN","Agree to carry out an act requested or proposed by other.","Answer in the negative to yes/no question",0
"AD","AP","Agree to carry out an act requested or proposed by other.","Agree with proposition or proposal expressed by previous speaker",0
"AD","CL","Agree to carry out an act requested or proposed by other.","Call attention to hearer by name or by substitute exclamations",1
"AD","CM","Agree to carry out an act requested or proposed by other.","Commiserate express sympathy for hearer's distress.",0
"AD","CN","Agree to carry out an act requested or proposed by other.","Count.",1
"AD","CR","Agree to carry out an act requested or proposed by other.","Criticize or point out error in nonverbal act.",1
"AD","CS","Agree to carry out an act requested or proposed by other.","Counter-suggestion/ an indirect refusal.",0
"AD","CT","Agree to carry out an act requested or proposed by other.","Correct provide correct verbal form in place of erroneous one.",1
"AD","DC","Agree to carry out an act requested or proposed by other.","Create a new state of affairs by declaration",1
"AD","DP","Agree to carry out an act requested or proposed by other.","Declare make-believe reality.",1
"AD","DS","Agree to carry out an act requested or proposed by other.","Disapprove scold protest disruptive behavior.",1
"AD","DW","Agree to carry out an act requested or proposed by other.","Disagree with proposition expressed by previous speaker.",0
"AD","EA","Agree to carry out an act requested or proposed by other.","Elicit onomatopoeic or animal sounds.",1
"AD","EC","Agree to carry out an act requested or proposed by other.","Elicit completion of word or sentence.",1
"AD","ED","Agree to carry out an act requested or proposed by other.","Exclaim in disapproval.",0
"AD","EI","Agree to carry out an act requested or proposed by other.","Elicit imitation of word or sentence by modelling or by explicit command",1
"AD","EM","Agree to carry out an act requested or proposed by other.","Exclaim in distress pain.",1
"AD","ET","Agree to carry out an act requested or proposed by other.","Express enthusiasm for hearer's performance.",1
"AD","EX","Agree to carry out an act requested or proposed by other.","Elicit completion of rote-learned text.",1
"AD","FP","Agree to carry out an act requested or proposed by other.","Ask for permission to carry out act.",1
"AD","GI","Agree to carry out an act requested or proposed by other.","Give in/ accept other's insistence or refusal.",0
"AD","GR","Agree to carry out an act requested or proposed by other.","Give reason/ justify a request for an action refusal or prohibition",0
"AD","MK","Agree to carry out an act requested or proposed by other.","Mark occurrence of event (thank greet apologize congratulate etc.).",1
"AD","OO","Agree to carry out an act requested or proposed by other.","Unintelligible vocalization.",0
"AD","PA","Agree to carry out an act requested or proposed by other.","Permit hearer to perform act.",1
"AD","PD","Agree to carry out an act requested or proposed by other.","Promise.",1
"AD","PF","Agree to carry out an act requested or proposed by other.","Prohibit/forbid/protest hearer's performance of an act",0
"AD","PM","Agree to carry out an act requested or proposed by other.","Praise for motor acts i.e for nonverbal behavior.",1
"AD","PR","Agree to carry out an act requested or proposed by other.","Perform verbal move in game.",1
"AD","QN","Agree to carry out an act requested or proposed by other.","Ask a product-question (wh-question)",1
"AD","RD","Agree to carry out an act requested or proposed by other.","Refuse to carry out an act requested or proposed by other.",0
"AD","RP","Agree to carry out an act requested or proposed by other.","Request propose or suggest an action for hearer or for hearer and speaker.",1
"AD","RQ","Agree to carry out an act requested or proposed by other.","Yes/no question or suggestion about hearer's wishes and intentions",1
"AD","RR","Agree to carry out an act requested or proposed by other.","Request to repeat utterance.",1
"AD","RT","Agree to carry out an act requested or proposed by other.","Repeat or imitate other's utterance.",1
"AD","SA","Agree to carry out an act requested or proposed by other.","Answer a wh-question with a statement.",0
"AD","SI","Agree to carry out an act requested or proposed by other.","State intent to carry out act by speaker.",1
"AD","SS","Agree to carry out an act requested or proposed by other.","Signal to start performing an act such as running or rolling a ball",1
"AD","ST","Agree to carry out an act requested or proposed by other.","Make a declarative statement.",1
"AD","TO","Agree to carry out an act requested or proposed by other.","Mark transfer of object to hearer",1
"AD","TQ","Agree to carry out an act requested or proposed by other.","Ask a limited-alternative yes/no question.",1
"AD","TX","Agree to carry out an act requested or proposed by other.","Read or recite written text aloud.",1
"AD","WD","Agree to carry out an act requested or proposed by other.","Warn of danger.",1
"AD","WS","Agree to carry out an act requested or proposed by other.","Express a wish.",1
"AD","XA","Agree to carry out an act requested or proposed by other.","Exhibit attentiveness to hearer.",1
"AD","YQ","Agree to carry out an act requested or proposed by other.","Ask a yes/no question.",1
"AD","YY","Agree to carry out an act requested or proposed by other.","Make a word-like utterance without clear function.",0
"AL","QN","Agree to do something for the last time.","Ask a product-question (wh-question)",1
"AL","RP","Agree to do something for the last time.","Request propose or suggest an action for hearer or for hearer and speaker.",1
"AL","RT","Agree to do something for the last time.","Repeat or imitate other's utterance.",1
"AL","TQ","Agree to do something for the last time.","Ask a limited-alternative yes/no question.",1
"AN","AA","Answer in the negative to yes/no question","Answer in the affirmative to yes/no question.",0
"AN","AB","Answer in the negative to yes/no question","Approve of appropriate behavior.",1
"AN","AC","Answer in the negative to yes/no question","Answer calls/ show attentiveness to communications.",0
"AN","AD","Answer in the negative to yes/no question","Agree to carry out an act requested or proposed by other.",0
"AN","AN","Answer in the negative to yes/no question","Answer in the negative to yes/no question",0
"AN","AP","Answer in the negative to yes/no question","Agree with proposition or proposal expressed by previous speaker",0
"AN","CL","Answer in the negative to yes/no question","Call attention to hearer by name or by substitute exclamations",1
"AN","CM","Answer in the negative to yes/no question","Commiserate express sympathy for hearer's distress.",0
"AN","CN","Answer in the negative to yes/no question","Count.",1
"AN","CR","Answer in the negative to yes/no question","Criticize or point out error in nonverbal act.",1
"AN","CS","Answer in the negative to yes/no question","Counter-suggestion/ an indirect refusal.",0
"AN","CT","Answer in the negative to yes/no question","Correct provide correct verbal form in place of erroneous one.",1
"AN","DC","Answer in the negative to yes/no question","Create a new state of affairs by declaration",1
"AN","DP","Answer in the negative to yes/no question","Declare make-believe reality.",1
"AN","DS","Answer in the negative to yes/no question","Disapprove scold protest disruptive behavior.",1
"AN","DW","Answer in the negative to yes/no question","Disagree with proposition expressed by previous speaker.",0
"AN","EA","Answer in the negative to yes/no question","Elicit onomatopoeic or animal sounds.",1
"AN","EC","Answer in the negative to yes/no question","Elicit completion of word or sentence.",1
"AN","EI","Answer in the negative to yes/no question","Elicit imitation of word or sentence by modelling or by explicit command",1
"AN","EM","Answer in the negative to yes/no question","Exclaim in distress pain.",1
"AN","ET","Answer in the negative to yes/no question","Express enthusiasm for hearer's performance.",1
"AN","FP","Answer in the negative to yes/no question","Ask for permission to carry out act.",1
"AN","GI","Answer in the negative to yes/no question","Give in/ accept other's insistence or refusal.",0
"AN","GR","Answer in the negative to yes/no question","Give reason/ justify a request for an action refusal or prohibition",1
"AN","MK","Answer in the negative to yes/no question","Mark occurrence of event (thank greet apologize congratulate etc.).",1
"AN","OO","Answer in the negative to yes/no question","Unintelligible vocalization.",0
"AN","PA","Answer in the negative to yes/no question","Permit hearer to perform act.",1
"AN","PD","Answer in the negative to yes/no question","Promise.",1
"AN","PF","Answer in the negative to yes/no question","Prohibit/forbid/protest hearer's performance of an act",1
"AN","PM","Answer in the negative to yes/no question","Praise for motor acts i.e for nonverbal behavior.",1
"AN","PR","Answer in the negative to yes/no question","Perform verbal move in game.",1
"AN","QN","Answer in the negative to yes/no question","Ask a product-question (wh-question)",1
"AN","RD","Answer in the negative to yes/no question","Refuse to carry out an act requested or proposed by other.",0
"AN","RP","Answer in the negative to yes/no question","Request propose or suggest an action for hearer or for hearer and speaker.",1
"AN","RQ","Answer in the negative to yes/no question","Yes/no question or suggestion about hearer's wishes and intentions",1
"AN","RR","Answer in the negative to yes/no question","Request to repeat utterance.",1
"AN","RT","Answer in the negative to yes/no question","Repeat or imitate other's utterance.",1
"AN","SA","Answer in the negative to yes/no question","Answer a wh-question with a statement.",0
"AN","SI","Answer in the negative to yes/no question","State intent to carry out act by speaker.",1
"AN","SS","Answer in the negative to yes/no question","Signal to start performing an act such as running or rolling a ball",1
"AN","ST","Answer in the negative to yes/no question","Make a declarative statement.",1
"AN","TO","Answer in the negative to yes/no question","Mark transfer of object to hearer",1
"AN","TQ","Answer in the negative to yes/no question","Ask a limited-alternative yes/no question.",1
"AN","TX","Answer in the negative to yes/no question","Read or recite written text aloud.",1
"AN","WD","Answer in the negative to yes/no question","Warn of danger.",1
"AN","XA","Answer in the negative to yes/no question","Exhibit attentiveness to hearer.",1
"AN","YA","Answer in the negative to yes/no question","Answer a question with a yes/no question.",0
"AN","YQ","Answer in the negative to yes/no question","Ask a yes/no question.",1
"AN","YY","Answer in the negative to yes/no question","Make a word-like utterance without clear function.",0
"AP","AA","Agree with proposition or proposal expressed by previous speaker","Answer in the affirmative to yes/no question.",0
"AP","AB","Agree with proposition or proposal expressed by previous speaker","Approve of appropriate behavior.",1
"AP","AC","Agree with proposition or proposal expressed by previous speaker","Answer calls/ show attentiveness to communications.",0
"AP","AD","Agree with proposition or proposal expressed by previous speaker","Agree to carry out an act requested or proposed by other.",0
"AP","AN","Agree with proposition or proposal expressed by previous speaker","Answer in the negative to yes/no question",0
"AP","AP","Agree with proposition or proposal expressed by previous speaker","Agree with proposition or proposal expressed by previous speaker",0
"AP","CL","Agree with proposition or proposal expressed by previous speaker","Call attention to hearer by name or by substitute exclamations",1
"AP","CM","Agree with proposition or proposal expressed by previous speaker","Commiserate express sympathy for hearer's distress.",0
"AP","CN","Agree with proposition or proposal expressed by previous speaker","Count.",1
"AP","CR","Agree with proposition or proposal expressed by previous speaker","Criticize or point out error in nonverbal act.",1
"AP","CS","Agree with proposition or proposal expressed by previous speaker","Counter-suggestion/ an indirect refusal.",0
"AP","CT","Agree with proposition or proposal expressed by previous speaker","Correct provide correct verbal form in place of erroneous one.",1
"AP","DC","Agree with proposition or proposal expressed by previous speaker","Create a new state of affairs by declaration",1
"AP","DP","Agree with proposition or proposal expressed by previous speaker","Declare make-believe reality.",1
"AP","DS","Agree with proposition or proposal expressed by previous speaker","Disapprove scold protest disruptive behavior.",1
"AP","DW","Agree with proposition or proposal expressed by previous speaker","Disagree with proposition expressed by previous speaker.",0
"AP","EA","Agree with proposition or proposal expressed by previous speaker","Elicit onomatopoeic or animal sounds.",1
"AP","EC","Agree with proposition or proposal expressed by previous speaker","Elicit completion of word or sentence.",1
"AP","ED","Agree with proposition or proposal expressed by previous speaker","Exclaim in disapproval.",1
"AP","EI","Agree with proposition or proposal expressed by previous speaker","Elicit imitation of word or sentence by modelling or by explicit command",1
"AP","EM","Agree with proposition or proposal expressed by previous speaker","Exclaim in distress pain.",1
"AP","EN","Agree with proposition or proposal expressed by previous speaker","Express positive emotion.",1
"AP","ET","Agree with proposition or proposal expressed by previous speaker","Express enthusiasm for hearer's performance.",1
"AP","FP","Agree with proposition or proposal expressed by previous speaker","Ask for permission to carry out act.",0
"AP","GI","Agree with proposition or proposal expressed by previous speaker","Give in/ accept other's insistence or refusal.",0
"AP","GR","Agree with proposition or proposal expressed by previous speaker","Give reason/ justify a request for an action refusal or prohibition",0
"AP","MK","Agree with proposition or proposal expressed by previous speaker","Mark occurrence of event (thank greet apologize congratulate etc.).",1
"AP","NA","Agree with proposition or proposal expressed by previous speaker","Intentionally nonsatisfying answer to question",0
"AP","OO","Agree with proposition or proposal expressed by previous speaker","Unintelligible vocalization.",0
"AP","PA","Agree with proposition or proposal expressed by previous speaker","Permit hearer to perform act.",0
"AP","PD","Agree with proposition or proposal expressed by previous speaker","Promise.",1
"AP","PF","Agree with proposition or proposal expressed by previous speaker","Prohibit/forbid/protest hearer's performance of an act",0
"AP","PM","Agree with proposition or proposal expressed by previous speaker","Praise for motor acts i.e for nonverbal behavior.",1
"AP","PR","Agree with proposition or proposal expressed by previous speaker","Perform verbal move in game.",1
"AP","QN","Agree with proposition or proposal expressed by previous speaker","Ask a product-question (wh-question)",1
"AP","RD","Agree with proposition or proposal expressed by previous speaker","Refuse to carry out an act requested or proposed by other.",0
"AP","RP","Agree with proposition or proposal expressed by previous speaker","Request propose or suggest an action for hearer or for hearer and speaker.",1
"AP","RQ","Agree with proposition or proposal expressed by previous speaker","Yes/no question or suggestion about hearer's wishes and intentions",1
"AP","RR","Agree with proposition or proposal expressed by previous speaker","Request to repeat utterance.",1
"AP","RT","Agree with proposition or proposal expressed by previous speaker","Repeat or imitate other's utterance.",1
"AP","SA","Agree with proposition or proposal expressed by previous speaker","Answer a wh-question with a statement.",0
"AP","SI","Agree with proposition or proposal expressed by previous speaker","State intent to carry out act by speaker.",1
"AP","SS","Agree with proposition or proposal expressed by previous speaker","Signal to start performing an act such as running or rolling a ball",1
"AP","ST","Agree with proposition or proposal expressed by previous speaker","Make a declarative statement.",1
"AP","TA","Agree with proposition or proposal expressed by previous speaker","Answer a limited-alternative question.",0
"AP","TO","Agree with proposition or proposal expressed by previous speaker","Mark transfer of object to hearer",1
"AP","TQ","Agree with proposition or proposal expressed by previous speaker","Ask a limited-alternative yes/no question.",1
"AP","TX","Agree with proposition or proposal expressed by previous speaker","Read or recite written text aloud.",1
"AP","WD","Agree with proposition or proposal expressed by previous speaker","Warn of danger.",1
"AP","XA","Agree with proposition or proposal expressed by previous speaker","Exhibit attentiveness to hearer.",1
"AP","YQ","Agree with proposition or proposal expressed by previous speaker","Ask a yes/no question.",1
"AP","YY","Agree with proposition or proposal expressed by previous speaker","Make a word-like utterance without clear function.",0
"AQ","AA","Aggravated question expression of disapproval by restating a question","Answer in the affirmative to yes/no question.",1
"AQ","OO","Aggravated question expression of disapproval by restating a question","Unintelligible vocalization.",0
"AQ","RP","Aggravated question expression of disapproval by restating a question","Request propose or suggest an action for hearer or for hearer and speaker.",1
"AQ","SA","Aggravated question expression of disapproval by restating a question","Answer a wh-question with a statement.",1
"AQ","SI","Aggravated question expression of disapproval by restating a question","State intent to carry out act by speaker.",0
"AQ","ST","Aggravated question expression of disapproval by restating a question","Make a declarative statement.",0
"AQ","YY","Aggravated question expression of disapproval by restating a question","Make a word-like utterance without clear function.",0
"CL","AA","Call attention to hearer by name or by substitute exclamations","Answer in the affirmative to yes/no question.",0
"CL","AB","Call attention to hearer by name or by substitute exclamations","Approve of appropriate behavior.",1
"CL","AC","Call attention to hearer by name or by substitute exclamations","Answer calls/ show attentiveness to communications.",1
"CL","AD","Call attention to hearer by name or by substitute exclamations","Agree to carry out an act requested or proposed by other.",1
"CL","AP","Call attention to hearer by name or by substitute exclamations","Agree with proposition or proposal expressed by previous speaker",1
"CL","CL","Call attention to hearer by name or by substitute exclamations","Call attention to hearer by name or by substitute exclamations",1
"CL","CM","Call attention to hearer by name or by substitute exclamations","Commiserate express sympathy for hearer's distress.",1
"CL","CN","Call attention to hearer by name or by substitute exclamations","Count.",1
"CL","CS","Call attention to hearer by name or by substitute exclamations","Counter-suggestion/ an indirect refusal.",1
"CL","CT","Call attention to hearer by name or by substitute exclamations","Correct provide correct verbal form in place of erroneous one.",1
"CL","DC","Call attention to hearer by name or by substitute exclamations","Create a new state of affairs by declaration",1
"CL","DP","Call attention to hearer by name or by substitute exclamations","Declare make-believe reality.",1
"CL","DS","Call attention to hearer by name or by substitute exclamations","Disapprove scold protest disruptive behavior.",1
"CL","DW","Call attention to hearer by name or by substitute exclamations","Disagree with proposition expressed by previous speaker.",1
"CL","EA","Call attention to hearer by name or by substitute exclamations","Elicit onomatopoeic or animal sounds.",1
"CL","EC","Call attention to hearer by name or by substitute exclamations","Elicit completion of word or sentence.",1
"CL","EI","Call attention to hearer by name or by substitute exclamations","Elicit imitation of word or sentence by modelling or by explicit command",1
"CL","EM","Call attention to hearer by name or by substitute exclamations","Exclaim in distress pain.",1
"CL","ET","Call attention to hearer by name or by substitute exclamations","Express enthusiasm for hearer's performance.",1
"CL","FP","Call attention to hearer by name or by substitute exclamations","Ask for permission to carry out act.",1
"CL","GI","Call attention to hearer by name or by substitute exclamations","Give in/ accept other's insistence or refusal.",1
"CL","GR","Call attention to hearer by name or by substitute exclamations","Give reason/ justify a request for an action refusal or prohibition",1
"CL","MK","Call attention to hearer by name or by substitute exclamations","Mark occurrence of event (thank greet apologize congratulate etc.).",1
"CL","OO","Call attention to hearer by name or by substitute exclamations","Unintelligible vocalization.",0
"CL","PA","Call attention to hearer by name or by substitute exclamations","Permit hearer to perform act.",1
"CL","PD","Call attention to hearer by name or by substitute exclamations","Promise.",1
"CL","PF","Call attention to hearer by name or by substitute exclamations","Prohibit/forbid/protest hearer's performance of an act",1
"CL","PM","Call attention to hearer by name or by substitute exclamations","Praise for motor acts i.e for nonverbal behavior.",1
"CL","PR","Call attention to hearer by name or by substitute exclamations","Perform verbal move in game.",1
